WELL_ID,registros,pct_shutdown,pct_gap_core,pct_interp_core,pct_still_nan_core,disp_CURRENT,disp_PRESS_DESC,disp_TEMP_MOT,disp_FREQUENCY,disp_OUT_VOLT,disp_TEMP_INT,disp_VIBRATION
DEEPWATER-DTL53P,4416,0.0,9.601449275362318,9.601449275362318,0.0,100.0,100.0,100.0,100.0,93.11594202898551,100.0,100.0
DEEPWATER-BPUSBG,4415,0.0,53.74858437146093,52.7519818799547,0.9966024915062288,99.63759909399774,99.00339750849378,99.00339750849378,99.68289920724803,50.939977349943376,99.00339750849378,99.00339750849378
DEEPWATER-1AD32W,4415,0.022650056625141562,51.48357870894677,46.115515288788224,5.36806342015855,94.7678369195923,94.63193657984145,94.63193657984145,94.7678369195923,0.0,94.60928652321631,94.60928652321631
DEEPWATER-4TYG1P,4415,0.0,55.92298980747452,55.107587768969424,0.8154020385050963,99.59229898074746,99.22989807474518,99.22989807474518,99.59229898074746,46.25141562853907,99.11664779161949,99.22989807474518
DEEPWATER-1WHBG2,4415,0.0,52.14043035107587,51.14382785956965,0.9966024915062288,99.47904869762174,99.00339750849378,99.04869762174405,99.38844847112118,0.0,99.04869762174405,99.02604756511892
DEEPWATER-AHJLPP,4415,0.022650056625141562,53.907134767836915,52.25368063420158,1.6534541336353341,98.52774631936579,98.3691959229898,98.43714609286523,98.50509626274065,0.0,98.45979614949037,98.3691959229898
DEEPWATER-BZZIEL,4415,0.0,47.519818799547,44.711211778029444,2.808607021517554,98.1426953567384,97.25934314835787,97.19139297848245,98.39184597961494,55.492638731596834,97.2140430351076,97.19139297848245
DEEPWATER-453GJ0,4415,0.11325028312570783,56.602491506228766,48.312570781426956,8.289920724801812,93.61268403171007,91.71007927519818,91.71007927519818,93.61268403171007,44.43941109852775,91.71007927519818,91.71007927519818
DEEPWATER-TXV4MX,4415,0.09060022650056625,54.92638731596829,54.201585503963756,0.72480181200453,99.52434881087203,99.27519818799547,99.27519818799547,99.52434881087203,0.0,99.27519818799547,99.27519818799547
DEEPWATER-MU3BOW,4415,0.0,59.56964892412231,58.0973952434881,1.4722536806342015,99.25254813137033,98.52774631936579,98.61834654586636,91.71007927519818,0.0,98.61834654586636,98.57304643261608
DEEPWATER-XX0DST,4415,0.0,61.17780294450736,56.71574178935447,4.462061155152887,96.67044167610419,96.03624009060022,96.26274065685165,96.53454133635334,39.27519818799547,95.99093997734994,96.12684031710079
DEEPWATER-IXZFOT,4415,0.0,51.302378255945634,50.50962627406569,0.7927519818799547,99.20724801812004,99.20724801812004,99.20724801812004,99.20724801812004,49.15062287655719,99.20724801812004,0.0
DEEPWATER-IDE13P,4415,0.0,54.586636466591166,54.292185730464325,0.2944507361268403,99.86409966024915,99.70554926387317,99.70554926387317,99.86409966024915,47.74631936579841,99.70554926387317,99.70554926387317
DEEPWATER-HOQZS1,4415,0.0,58.30124575311439,56.21744054360136,2.0838052095130237,99.0713476783692,97.91619479048698,97.91619479048698,99.02604756511892,45.7757644394111,97.87089467723669,0.0
DEEPWATER-FS1PMT,4415,0.0,72.70668176670442,32.684031710079275,40.02265005662514,89.62627406568517,63.918459796149484,61.653454133635336,88.04077010192526,0.0,62.9445073612684,60.747451868629675
DEEPWATER-EQEM2A,4415,0.0,55.46998867497168,54.56398640996603,0.9060022650056626,99.47904869762174,99.34314835787089,99.09399773499433,0.0,0.0,99.16194790486976,98.84484711211779
DEEPWATER-EU2FJA,4415,0.0,61.13250283125707,57.417893544733865,3.714609286523216,98.09739524348811,97.9841449603624,98.07474518686297,98.02944507361269,40.20385050962628,98.21064552661382,97.91619479048698
DEEPWATER-VKCG0Y,4415,0.0,57.28199320498302,56.89694224235561,0.38505096262740657,99.6149490373726,99.6149490373726,99.6149490373726,99.6149490373726,42.763306908267275,99.6149490373726,99.6149490373726
DEEPWATER-GROQ2A,4414,0.0,54.91617580425917,46.850928862709566,8.065246941549614,93.83778885364748,91.93475305845038,91.93475305845038,93.83778885364748,46.05799728137743,91.93475305845038,91.93475305845038
DEEPWATER-EEJC2O,4414,0.0,54.37245129134571,45.94472134118713,8.427729950158588,93.47530584503852,91.5722700498414,91.5722700498414,93.47530584503852,46.78296329859538,91.5722700498414,91.5722700498414
DEEPWATER-RU0CIY,4413,0.0,49.73940629956945,49.64876501246317,0.0906412871062769,100.0,99.90935871289372,99.90935871289372,99.97733967822343,0.0,99.90935871289372,99.90935871289372
DEEPWATER-A5W4QG,4413,0.0,49.73940629956945,49.73940629956945,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
DEEPWATER-1UBHZV,4413,0.0,55.56310899614775,52.685248130523455,2.877860865624292,98.70836165873556,97.39406299569454,97.30342170858826,98.41377747564015,46.92952639927487,97.37140267391797,97.25810106503512
DEEPWATER-BP2VWC,4413,0.0,52.707908452300025,51.93745751189667,0.7704509404033537,99.7733967822343,99.22954905959665,99.22954905959665,99.61477452979832,0.0,99.22954905959665,0.0
DEEPWATER-CEO3A4,4413,0.0,49.64876501246317,49.44482211647405,0.20394289598912305,99.79605710401088,99.79605710401088,99.79605710401088,99.79605710401088,50.35123498753682,99.79605710401088,99.79605710401088
DEEPWATER-0KPXEZ,4413,0.0,54.88329934285067,54.70201676863812,0.1812825742125538,99.95467935644686,99.81871742578745,99.81871742578745,99.95467935644686,0.0,99.81871742578745,99.81871742578745
DEEPWATER-LQB3RR,4413,50.89508271017449,49.104917289825515,0.0,49.104917289825515,51.07636528438704,50.89508271017449,50.89508271017449,51.07636528438704,0.0,50.89508271017449,0.0
DEEPWATER-JCS1GP,4413,0.022660321776569226,49.875368230228865,49.80738726489916,0.06798096532970768,99.93201903467029,99.93201903467029,99.93201903467029,99.93201903467029,0.0,99.93201903467029,99.93201903467029
DEEPWATER-LGIE0L,4413,0.0,54.2034896895536,53.86358486290506,0.3399048266485384,99.95467935644686,99.66009517335146,99.66009517335146,99.95467935644686,47.85859959211421,99.66009517335146,99.66009517335146
DEEPWATER-ISTQBO,4413,0.0,50.23793337865398,49.852707908452295,0.38522547020167686,99.70541581690459,99.90935871289372,99.90935871289372,99.90935871289372,50.44187627464311,99.90935871289372,99.90935871289372
DEEPWATER-GP0VTX,4413,0.3625651484251076,68.43417176523907,22.27509630636755,46.15907545887152,53.84092454112849,53.84092454112849,53.84092454112849,53.84092454112849,31.543167912984366,53.84092454112849,53.81826421935192
DEEPWATER-GIF2OB,4413,0.0,46.74824382506231,46.38567867663721,0.3625651484251076,99.6374348515749,99.6374348515749,99.6374348515749,99.6374348515749,0.0,99.6374348515749,0.0
DEEPWATER-EKA0CA,4413,0.0,55.17788352594607,54.430092907319285,0.7477906186267845,99.43349195558578,99.25220938137322,99.25220938137322,99.43349195558578,47.11080897348742,99.25220938137322,0.0
DEEPWATER-UVG14O,4413,0.022660321776569226,49.46748243825062,49.42216179469748,0.04532064355313845,99.95467935644686,99.95467935644686,99.95467935644686,99.95467935644686,0.0,99.95467935644686,99.95467935644686
DEEPWATER-TPS1RK,4413,0.0,58.9848175844097,34.987536823022886,23.99728076138681,76.0027192386132,76.0027192386132,76.0027192386132,76.0027192386132,0.0,76.0027192386132,76.0027192386132
DEEPWATER-MH3PGB,4413,0.022660321776569226,54.158169046000445,53.569000679809655,0.5891683661907999,99.75073646045773,99.45615227736234,99.41083163380921,99.75073646045773,47.04282800815772,99.36551099025606,0.0
DEEPWATER-PIK04Q,4413,0.0,51.37094946748244,48.334466349422165,3.0364831180602763,98.54973940629958,97.37140267391797,97.23544074325855,97.3487423521414,50.84976206662135,97.3487423521414,97.1221391343757
DEEPWATER-RDAYRK,4413,0.04532064355313845,40.10876954452753,39.17969635168819,0.9290731928393383,99.07092680716066,99.07092680716066,99.07092680716066,99.07092680716066,59.91389077724904,99.07092680716066,99.07092680716066
DEEPWATER-M24OXR,4413,0.022660321776569226,54.70201676863812,54.52073419442556,0.1812825742125538,99.95467935644686,99.81871742578745,99.81871742578745,99.95467935644686,47.337412191253115,99.81871742578745,99.81871742578745
DEEPWATER-U3TTRI,4411,0.022670596236681023,67.80775334391295,41.4645205168896,26.34323282702335,76.33189752890502,75.81047381546135,75.35706189072772,75.92382679664476,31.8975289050102,75.65177964180458,74.9036499659941
DEEPWATER-XASUQA,4215,0.0,51.93357058125741,51.19810201660735,0.7354685646500593,99.76275207591934,99.26453143534995,99.26453143534995,99.76275207591934,52.36061684460262,99.26453143534995,99.26453143534995
DEEPWATER-TSXTIY,2736,0.0,52.48538011695907,51.461988304093566,1.023391812865497,99.3421052631579,99.3421052631579,99.3421052631579,99.3421052631579,0.0,99.3421052631579,99.3421052631579
