name_,date,prueba_de_produccion_petróleo_a_24_horas_bbld,prueba_de_producción_agua_a_24_horas_bbld,prueba_pozooil_24__prueba_pozowater_24,prueba_de_producción_gas_a_24_horas_mcfd,bsw_pct,gravedad_api_del_petroleo,salinidad_ppm_pu,presion_de_intake_psi,frecuencia_bomba_hz,amperaje_bomba_amp,presion_de_tubing_psi,presion_de_casing_psi,tipo_de_bomba,temperatura_de_la_bomba_deg_f,etapas_de_la_bomba,campo,delta_1,delta_3,slope_7,slope_14,evento_hibrido,Unnamed: 23,regimen_id,qtot_lo,qtot_hi,gas_hi,hz_hi,pint_lo,qtot_lo_p,qtot_hi_p,gas_hi_p,hz_hi_p,pint_lo_p,qtot_lo_eff,qtot_hi_eff,gas_hi_eff,hz_hi_eff,pint_lo_eff,env_q,env_gate,slope7_mean,slope7_std,d1_p,Qt_prev14,ratio14,confirm,enough,fuera_inst,alarma_instantanea,persist,persist_ref,pred_evento
SCH-007U,2015-08-28,203.4,610.21,813.62,14.0,75.0,22.4,,,,,60.0,,NHV200,,,SACHA NORTE 1,-43.38,-104.11,15.63,17.05,0,,SCH-007U||NHV200,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,0,1,1,0,0,0,0
SCH-007U,2015-09-01,189.91,489.71,679.62,14.0,72.06,22.4,,,,,100.0,,DN800,,,SACHA NORTE 1,-134.0,-238.11,28.78,9.79,1,,SCH-007U||DN800,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,1,1,1,1,0,0,1
SCH-007U,2015-09-03,204.37,435.73,640.1,14.0,68.07,22.4,,,,,80.0,,TD460 (7/29/2004),,,SACHA NORTE 1,-39.52,-216.9,-76.4,-0.34,1,,SCH-007U||TD460 (7/29/2004),,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,640.1,0.0,1,1,1,1,1,1,1
SCH-007U,2015-09-18,215.94,649.74,865.67,14.0,75.06,22.4,,,,,60.0,,,,,SACHA NORTE 1,225.57,52.05,-31.74,3.54,2,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,869.53,-0.0,1,1,1,1,1,0,1
SCH-007U,2015-09-22,214.97,645.88,860.85,14.0,75.03,22.4,,,,,70.0,,D1150N,,,SACHA NORTE 1,-4.82,181.23,-11.67,-8.82,0,,SCH-007U||D1150N,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,380.78,1.26,1,1,1,1,1,1,1
SCH-007U,2015-09-26,213.04,640.1,853.14,14.0,75.03,22.4,,,,,70.0,,D1150N,,,SACHA NORTE 1,-7.71,213.04,9.6,-10.0,0,,SCH-007U||D1150N,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,790.48,0.08,0,1,1,0,0,0,0
SCH-007U,2015-09-29,214.01,642.02,856.03,14.0,75.0,22.4,,,,,60.0,,D800N,,,SACHA NORTE 1,2.89,-9.64,24.82,-9.21,0,,SCH-007U||D800N,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,856.03,0.0,1,1,1,1,0,0,2
SCH-007U,2015-11-01,217.86,461.76,679.62,14.0,67.94,22.4,,,,,100.0,,,,,SACHA NORTE 1,-176.41,-181.23,14.98,-3.04,1,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,1,0,1.59,23.19,104.49,1172.22,-0.42,1,1,0,0,0,0,0
SCH-007U,2015-11-17,170.63,512.85,683.48,14.0,75.03,22.4,,,,,60.0,,P18 SSD,,,SACHA NORTE 1,3.86,-169.66,-8.81,1.43,0,,SCH-007U||P18 SSD,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,1051.72,-0.35,0,1,1,0,0,0,0
SCH-007U,2015-12-09,219.79,658.41,878.2,14.0,74.97,22.4,,,,,70.0,,,,,SACHA NORTE 1,194.72,22.17,-17.52,-16.31,2,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,160.02,4.49,1,1,1,1,0,0,2
SCH-007U,2016-01-04,121.46,259.32,380.78,14.0,68.1,22.4,,,,,50.0,,,,,SACHA NORTE 1,-497.42,-298.84,-55.81,-18.46,1,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,1159.69,-0.67,1,1,1,1,1,1,1
SCH-007U,2016-01-05,123.39,261.24,384.64,14.0,67.92,22.4,,,,,60.0,,NH(1600-2300)H,,,SACHA NORTE 1,3.86,-298.84,-77.05,-25.05,1,,SCH-007U||NH(1600-2300)H,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,917.73,-0.58,1,1,1,1,1,0,1
SCH-007U,2016-01-10,238.11,506.1,744.21,14.0,68.0,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,359.57,-133.99,-43.86,-19.03,2,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,917.73,-0.19,1,1,1,1,1,1,1
SCH-007U,2016-03-20,38.56,154.24,192.8,14.0,80.0,22.4,,,,,50.0,,TD1250,,,SACHA NORTE 1,-551.41,-187.98,-65.45,-30.0,1,,SCH-007U||TD1250,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,857.0,-0.78,1,1,1,1,1,0,1
SCH-007U,2016-03-21,106.04,248.71,354.75,14.0,70.11,22.4,,,,,80.0,,TD1250,,,SACHA NORTE 1,161.95,-29.89,-71.2,-34.86,1,,SCH-007U||TD1250,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,813.62,-0.56,1,1,1,1,1,1,1
SCH-007U,2016-03-22,154.24,230.4,384.64,14.0,59.9,22.4,,,,,52.0,,P8 SSD,,,SACHA NORTE 1,29.89,-359.57,-61.59,-41.26,1,,SCH-007U||P8 SSD,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,679.62,-0.43,1,1,1,1,1,0,1
SCH-007U,2016-03-23,183.16,197.62,380.78,14.0,51.9,22.4,,,,,80.0,,P8 SSD,,,SACHA NORTE 1,-3.86,187.98,-13.91,-47.78,0,,SCH-007U||P8 SSD,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,640.1,-0.41,0,1,1,0,0,0,0
SCH-007U,2016-04-09,239.07,508.99,748.06,14.0,68.04,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,367.28,393.31,19.83,-35.23,2,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,865.67,-0.14,1,1,1,1,0,0,2
SCH-007U,2016-04-18,123.39,261.24,384.64,14.0,67.92,22.4,,,,,60.0,,,,,SACHA NORTE 1,-363.42,0.0,2.07,-32.71,1,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,860.85,-0.55,1,1,1,1,1,1,1
SCH-007U,2016-04-22,121.46,259.32,380.78,14.0,68.1,22.4,,,,,50.0,,NH(1600-2300)H,,,SACHA NORTE 1,-3.86,0.0,35.26,-28.45,0,,SCH-007U||NH(1600-2300)H,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,853.14,-0.55,1,1,1,1,1,0,1
SCH-007U,2016-05-06,124.36,265.1,389.46,14.0,68.07,22.4,,,,,70.0,,TE2700,,,SACHA NORTE 1,8.68,-358.6,3.58,-21.78,0,,SCH-007U||TE2700,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,856.03,-0.55,0,1,1,0,0,0,0
SCH-007U,2016-05-10,237.14,503.21,740.35,14.0,67.97,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,350.89,355.71,25.61,-8.84,2,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,679.62,0.09,1,1,1,1,0,0,2
SCH-007U,2016-05-17,121.46,259.32,380.78,14.0,68.1,22.4,,,,,55.0,,NH(1600-2300)H,,,SACHA NORTE 1,-359.57,0.0,-0.38,-6.32,1,,SCH-007U||NH(1600-2300)H,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,683.48,-0.44,1,1,1,1,1,1,1
SCH-007U,2016-05-19,121.46,259.32,380.78,14.0,68.1,22.4,,,,,65.0,,D800N,,,SACHA NORTE 1,0.0,-8.68,-26.79,3.95,0,,SCH-007U||D800N,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,878.2,-0.57,1,1,1,1,1,0,1
SCH-007U,2016-05-26,123.39,261.24,384.64,14.0,67.92,22.4,,,,,60.0,,TE2700,,,SACHA NORTE 1,3.86,-355.71,-0.31,0.12,0,,SCH-007U||TE2700,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,380.78,0.01,0,1,1,0,0,0,0
SCH-007U,2016-07-12,200.51,427.05,627.56,14.0,68.05,22.4,,,,,65.0,,TD1000,,,SACHA NORTE 1,242.92,246.78,13.25,3.34,2,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,384.64,0.63,1,1,1,1,0,0,2
SCH-007U,2016-07-14,151.35,321.01,472.36,14.0,67.96,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,-155.2,91.58,0.96,12.91,1,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,744.21,-0.37,1,1,1,1,1,1,1
SCH-007U,2016-07-18,150.38,321.01,471.4,14.0,68.1,22.4,,,,,55.0,,TD1000,,,SACHA NORTE 1,-0.96,86.76,-13.46,5.47,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,192.8,1.45,1,1,1,1,1,0,1
SCH-007U,2016-08-09,238.11,506.1,744.21,14.0,68.0,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,272.81,116.65,48.54,9.94,2,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,354.75,1.1,1,1,1,1,1,1,2
SCH-007U,2016-08-10,229.43,488.75,718.18,14.0,68.05,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,-26.03,245.82,56.26,12.94,2,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,384.64,0.87,1,1,1,1,1,0,2
SCH-007U,2016-08-13,209.19,444.4,653.59,14.0,67.99,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,-64.59,182.19,45.0,12.5,0,1000-2000,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,1,0,1.59,23.19,104.49,380.78,0.72,1,1,0,0,0,0,0
SCH-007U,2016-08-16,210.15,446.33,656.48,14.0,67.99,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,2.89,-87.73,24.86,23.06,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,1,0,1.59,23.19,104.49,748.06,-0.12,1,1,0,0,0,0,0
SCH-007U,2016-09-11,209.19,444.4,653.59,14.0,67.99,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,-2.89,-64.59,29.4,21.95,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,1,0,1.59,23.19,104.49,384.64,0.7,1,1,0,0,0,0,0
SCH-007U,2016-09-13,239.07,508.99,748.06,14.0,68.04,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,94.47,94.47,20.97,22.23,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,380.78,0.96,1,1,1,1,0,0,2
SCH-007U,2016-09-20,233.29,493.57,726.86,14.0,67.9,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,-21.2,70.38,0.28,20.58,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,389.46,0.87,1,1,1,1,1,1,2
